[2026-03-09 02:42:32] 删除文件: generate_synthetic.log
[2026-03-09 02:42:32] 清理完成，已删除 79 个合成数据目录。可重新运行: python generate_synthetic_500.py
[2026-03-09 02:42:49] ======== 开始生成 500 条合成数据 ========
[2026-03-09 02:42:49] 生成 500 条合成数据（单线程顺序）
[2026-03-09 02:42:49] 目标行数分布: min=6 max=134 前20个=[13, 16, 13, 23, 20, 35, 10, 12, 14, 16, 15, 16, 7, 35, 26, 32, 10, 50, 44, 60]
[2026-03-09 02:42:49] API Key 已配置，开始顺序生成...
[2026-03-09 02:43:07]   [(1/500)] meaningful_000 OK (lines=23)
[2026-03-09 03:03:50]     [mermaid.ink 400] attempt 1
[2026-03-09 03:03:55]     [mermaid.ink 400] attempt 2
[2026-03-09 03:04:01]     [mermaid.ink 400] attempt 3
[2026-03-09 03:04:05]   [(38/500)] meaningful_037 PNG 渲染失败
[2026-03-09 03:04:18]     [mermaid.ink 400] attempt 1
[2026-03-09 03:04:24]     [mermaid.ink 400] attempt 2
[2026-03-09 03:04:29]     [mermaid.ink 400] attempt 3
[2026-03-09 03:04:33]   [(38/500)] meaningful_037 PNG 渲染失败
[2026-03-09 03:05:07]   [(38/500)] meaningful_037 OK (lines=61)
[2026-03-09 03:05:26]   [(39/500)] meaningful_038 OK (lines=25)
[2026-03-09 03:05:57]   [(40/500)] meaningful_039 OK (lines=107)
[2026-03-09 03:06:09]     [mermaid.ink 400] attempt 1
[2026-03-09 03:06:15]     [mermaid.ink 400] attempt 2
[2026-03-09 03:06:20]     [mermaid.ink 400] attempt 3
[2026-03-09 03:06:24]   [(41/500)] meaningful_040 PNG 渲染失败
[2026-03-09 03:06:36]     [mermaid.ink 400] attempt 1
[2026-03-09 03:06:42]     [mermaid.ink 400] attempt 2
[2026-03-09 03:06:47]     [mermaid.ink 400] attempt 3
[2026-03-09 03:06:51]   [(41/500)] meaningful_040 PNG 渲染失败
[2026-03-09 03:07:16]   [(41/500)] meaningful_040 OK (lines=31)
[2026-03-09 03:07:25]     [mermaid.ink 400] attempt 1
[2026-03-09 03:07:30]     [mermaid.ink 400] attempt 2
[2026-03-09 03:07:36]     [mermaid.ink 400] attempt 3
[2026-03-09 03:07:40]   [(42/500)] meaningful_041 PNG 渲染失败
[2026-03-09 03:08:08]   [(42/500)] meaningful_041 OK (lines=78)
[2026-03-09 03:08:28]   [(43/500)] meaningful_042 OK (lines=39)
[2026-03-09 03:08:46]   [(44/500)] meaningful_043 OK (lines=29)
[2026-03-09 03:09:03]   [(45/500)] meaningful_044 OK (lines=26)
[2026-03-09 03:09:10]     [mermaid.ink 400] attempt 1
[2026-03-09 03:09:16]     [mermaid.ink 400] attempt 2
[2026-03-09 03:09:21]     [mermaid.ink 400] attempt 3
[2026-03-09 03:09:25]   [(46/500)] meaningful_045 PNG 渲染失败
[2026-03-09 03:09:37]     [mermaid.ink 400] attempt 1
[2026-03-09 03:09:43]     [mermaid.ink 400] attempt 2
[2026-03-09 03:09:49]     [mermaid.ink 400] attempt 3
[2026-03-09 03:09:53]   [(46/500)] meaningful_045 PNG 渲染失败
[2026-03-09 03:10:16]   [(46/500)] meaningful_045 OK (lines=32)
[2026-03-09 03:10:41]   [(47/500)] meaningful_046 OK (lines=72)
[2026-03-09 03:10:48]     [mermaid.ink 400] attempt 1
[2026-03-09 03:10:54]     [mermaid.ink 400] attempt 2
[2026-03-09 03:10:59]     [mermaid.ink 400] attempt 3
[2026-03-09 03:11:03]   [(48/500)] meaningful_047 PNG 渲染失败
[2026-03-09 03:11:14]     [mermaid.ink 400] attempt 1
[2026-03-09 03:11:19]     [mermaid.ink 400] attempt 2
[2026-03-09 03:11:25]     [mermaid.ink 400] attempt 3
[2026-03-09 03:11:29]   [(48/500)] meaningful_047 PNG 渲染失败
[2026-03-09 03:11:50]   [(48/500)] meaningful_047 OK (lines=17)
[2026-03-09 03:11:57]     [mermaid.ink 400] attempt 1
[2026-03-09 03:12:02]     [mermaid.ink 400] attempt 2
[2026-03-09 03:12:08]     [mermaid.ink 400] attempt 3
[2026-03-09 03:12:12]   [(49/500)] meaningful_048 PNG 渲染失败
[2026-03-09 03:12:28]   [(49/500)] meaningful_048 OK (lines=11)
[2026-03-09 03:12:37]     [mermaid.ink 400] attempt 1
[2026-03-09 03:12:43]     [mermaid.ink 400] attempt 2
[2026-03-09 03:12:48]     [mermaid.ink 400] attempt 3
[2026-03-09 03:12:52]   [(50/500)] meaningful_049 PNG 渲染失败
[2026-03-09 03:13:14]   [(50/500)] meaningful_049 OK (lines=21)
[2026-03-09 03:13:22]     [mermaid.ink 400] attempt 1
[2026-03-09 03:13:28]     [mermaid.ink 400] attempt 2
[2026-03-09 03:13:33]     [mermaid.ink 400] attempt 3
[2026-03-09 03:13:37]   [(51/500)] meaningful_050 PNG 渲染失败
[2026-03-09 03:13:59]   [(51/500)] meaningful_050 OK (lines=23)
[2026-03-09 03:14:20]   [(52/500)] meaningful_051 OK (lines=35)
[2026-03-09 03:14:28]     [mermaid.ink 400] attempt 1
[2026-03-09 03:14:34]     [mermaid.ink 400] attempt 2
[2026-03-09 03:14:39]     [mermaid.ink 400] attempt 3
[2026-03-09 03:14:43]   [(53/500)] meaningful_052 PNG 渲染失败
[2026-03-09 03:15:10]   [(53/500)] meaningful_052 OK (lines=37)
[2026-03-09 03:15:20]     [mermaid.ink 400] attempt 1
[2026-03-09 03:15:26]     [mermaid.ink 400] attempt 2
[2026-03-09 03:15:31]     [mermaid.ink 400] attempt 3
[2026-03-09 03:15:35]   [(54/500)] meaningful_053 PNG 渲染失败
[2026-03-09 03:16:04]   [(54/500)] meaningful_053 OK (lines=29)
[2026-03-09 03:16:24]   [(55/500)] meaningful_054 OK (lines=51)
[2026-03-09 03:16:32]     [mermaid.ink 400] attempt 1
[2026-03-09 03:16:38]     [mermaid.ink 400] attempt 2
[2026-03-09 03:16:43]     [mermaid.ink 400] attempt 3
[2026-03-09 03:16:47]   [(56/500)] meaningful_055 PNG 渲染失败
[2026-03-09 03:17:13]   [(56/500)] meaningful_055 OK (lines=29)
[2026-03-09 03:17:33]   [(57/500)] meaningful_056 OK (lines=41)
[2026-03-09 03:17:42]     [mermaid.ink 400] attempt 1
[2026-03-09 03:17:47]     [mermaid.ink 400] attempt 2
[2026-03-09 03:17:53]     [mermaid.ink 400] attempt 3
[2026-03-09 03:17:57]   [(58/500)] meaningful_057 PNG 渲染失败
[2026-03-09 03:18:10]     [mermaid.ink 400] attempt 1
[2026-03-09 03:18:16]     [mermaid.ink 400] attempt 2
[2026-03-09 03:18:21]     [mermaid.ink 400] attempt 3
[2026-03-09 03:18:25]   [(58/500)] meaningful_057 PNG 渲染失败
[2026-03-09 03:18:51]   [(58/500)] meaningful_057 OK (lines=57)
[2026-03-09 03:19:08]   [(59/500)] meaningful_058 OK (lines=23)
[2026-03-09 03:19:16]     [mermaid.ink 400] attempt 1
[2026-03-09 03:19:22]     [mermaid.ink 400] attempt 2
[2026-03-09 03:19:27]     [mermaid.ink 400] attempt 3
[2026-03-09 03:19:31]   [(60/500)] meaningful_059 PNG 渲染失败
[2026-03-09 03:19:49]     [mermaid.ink 503] attempt 1
[2026-03-09 03:20:07]   [(60/500)] meaningful_059 OK (lines=51)
[2026-03-09 03:20:23]   [(61/500)] meaningful_060 OK (lines=19)
[2026-03-09 03:20:40]   [(62/500)] meaningful_061 OK (lines=32)
[2026-03-09 03:20:47]     [mermaid.ink 400] attempt 1
[2026-03-09 03:20:52]     [mermaid.ink 400] attempt 2
[2026-03-09 03:20:58]     [mermaid.ink 400] attempt 3
[2026-03-09 03:21:02]   [(63/500)] meaningful_062 PNG 渲染失败
[2026-03-09 03:21:13]     [mermaid.ink 400] attempt 1
[2026-03-09 03:21:19]     [mermaid.ink 400] attempt 2
[2026-03-09 03:21:24]     [mermaid.ink 400] attempt 3
[2026-03-09 03:21:28]   [(63/500)] meaningful_062 PNG 渲染失败
[2026-03-09 03:21:39]     [mermaid.ink 400] attempt 1
[2026-03-09 03:21:45]     [mermaid.ink 400] attempt 2
[2026-03-09 03:21:50]     [mermaid.ink 400] attempt 3
[2026-03-09 03:21:54]   [(63/500)] meaningful_062 PNG 渲染失败
[2026-03-09 03:22:04]     [mermaid.ink 400] attempt 1
[2026-03-09 03:22:10]     [mermaid.ink 400] attempt 2
[2026-03-09 03:22:16]     [mermaid.ink 400] attempt 3
[2026-03-09 03:22:20]   [(63/500)] meaningful_062 PNG 渲染失败
[2026-03-09 03:22:39]   [(63/500)] meaningful_062 OK (lines=27)
[2026-03-09 03:22:47]     [mermaid.ink 400] attempt 1
[2026-03-09 03:22:53]     [mermaid.ink 400] attempt 2
[2026-03-09 03:22:58]     [mermaid.ink 400] attempt 3
[2026-03-09 03:23:02]   [(64/500)] meaningful_063 PNG 渲染失败
[2026-03-09 03:23:15]     [mermaid.ink 400] attempt 1
[2026-03-09 03:23:21]     [mermaid.ink 400] attempt 2
[2026-03-09 03:23:27]     [mermaid.ink 400] attempt 3
[2026-03-09 03:23:31]   [(64/500)] meaningful_063 PNG 渲染失败
[2026-03-09 03:23:43]     [mermaid.ink 400] attempt 1
[2026-03-09 03:23:49]     [mermaid.ink 400] attempt 2
[2026-03-09 03:23:54]     [mermaid.ink 400] attempt 3
[2026-03-09 03:23:58]   [(64/500)] meaningful_063 PNG 渲染失败
[2026-03-09 03:24:11]     [mermaid.ink 400] attempt 1
[2026-03-09 03:24:17]     [mermaid.ink 400] attempt 2
[2026-03-09 03:24:22]     [mermaid.ink 400] attempt 3
[2026-03-09 03:24:26]   [(64/500)] meaningful_063 PNG 渲染失败
[2026-03-09 03:24:59]   [(64/500)] meaningful_063 OK (lines=59)
[2026-03-09 03:25:06]     [mermaid.ink 400] attempt 1
[2026-03-09 03:25:12]     [mermaid.ink 400] attempt 2
[2026-03-09 03:25:18]     [mermaid.ink 400] attempt 3
[2026-03-09 03:25:22]   [(65/500)] meaningful_064 PNG 渲染失败
[2026-03-09 03:25:45]   [(65/500)] meaningful_064 OK (lines=32)
[2026-03-09 03:26:07]   [(66/500)] meaningful_065 OK (lines=42)
[2026-03-09 03:26:25]   [(67/500)] meaningful_066 OK (lines=33)
[2026-03-09 03:26:41]   [(68/500)] meaningful_067 OK (lines=16)
[2026-03-09 03:27:01]   [(69/500)] meaningful_068 OK (lines=34)
[2026-03-09 03:27:21]   [(70/500)] meaningful_069 OK (lines=15)
[2026-03-09 03:27:39]   [(71/500)] meaningful_070 OK (lines=22)
[2026-03-09 03:27:57]   [(72/500)] meaningful_071 OK (lines=24)
[2026-03-09 03:28:14]   [(73/500)] meaningful_072 OK (lines=21)
[2026-03-09 03:28:33]   [(74/500)] meaningful_073 OK (lines=13)
[2026-03-09 03:28:51]   [(75/500)] meaningful_074 OK (lines=23)
[2026-03-09 03:28:59]     [mermaid.ink 400] attempt 1
[2026-03-09 03:29:04]     [mermaid.ink 400] attempt 2
[2026-03-09 03:29:10]     [mermaid.ink 400] attempt 3
[2026-03-09 03:29:14]   [(76/500)] meaningful_075 PNG 渲染失败
[2026-03-09 03:29:37]   [(76/500)] meaningful_075 OK (lines=17)
[2026-03-09 03:29:59]   [(77/500)] meaningful_076 OK (lines=35)
[2026-03-09 03:30:12]     [mermaid.ink 503] attempt 1
[2026-03-09 03:30:30]   [(78/500)] meaningful_077 OK (lines=55)
[2026-03-09 03:30:50]   [(79/500)] meaningful_078 OK (lines=31)
[2026-03-09 03:31:11]   [(80/500)] meaningful_079 OK (lines=39)
[2026-03-09 03:31:30]   [(81/500)] meaningful_080 OK (lines=20)
[2026-03-09 03:31:47]   [(82/500)] meaningful_081 OK (lines=45)
[2026-03-09 03:32:07]   [(83/500)] meaningful_082 OK (lines=20)
[2026-03-09 03:32:16]     [mermaid.ink 400] attempt 1
[2026-03-09 03:32:21]     [mermaid.ink 400] attempt 2
[2026-03-09 03:32:27]     [mermaid.ink 400] attempt 3
[2026-03-09 03:32:31]   [(84/500)] meaningful_083 PNG 渲染失败
[2026-03-09 03:32:43]     [mermaid.ink 400] attempt 1
[2026-03-09 03:32:49]     [mermaid.ink 400] attempt 2
[2026-03-09 03:32:55]     [mermaid.ink 400] attempt 3
[2026-03-09 03:32:59]   [(84/500)] meaningful_083 PNG 渲染失败
[2026-03-09 03:33:15]     [mermaid.ink 503] attempt 1
[2026-03-09 03:33:35]   [(84/500)] meaningful_083 OK (lines=42)
[2026-03-09 03:33:51]   [(85/500)] meaningful_084 OK (lines=29)
[2026-03-09 03:34:15]   [(86/500)] meaningful_085 OK (lines=35)
[2026-03-09 03:34:37]   [(87/500)] meaningful_086 OK (lines=49)
[2026-03-09 03:34:52]   [(88/500)] meaningful_087 OK (lines=11)
[2026-03-09 03:35:17]   [(89/500)] meaningful_088 OK (lines=76)
[2026-03-09 03:35:36]   [(90/500)] meaningful_089 OK (lines=32)
[2026-03-09 03:35:55]   [(91/500)] meaningful_090 OK (lines=31)
[2026-03-09 03:36:04]     [mermaid.ink 400] attempt 1
[2026-03-09 03:36:10]     [mermaid.ink 400] attempt 2
[2026-03-09 03:36:15]     [mermaid.ink 400] attempt 3
[2026-03-09 03:36:19]   [(92/500)] meaningful_091 PNG 渲染失败
[2026-03-09 03:36:42]   [(92/500)] meaningful_091 OK (lines=48)
[2026-03-09 03:36:49]     [mermaid.ink 400] attempt 1
[2026-03-09 03:36:55]     [mermaid.ink 400] attempt 2
[2026-03-09 03:37:00]     [mermaid.ink 400] attempt 3
[2026-03-09 03:37:04]   [(93/500)] meaningful_092 PNG 渲染失败
[2026-03-09 03:37:26]   [(93/500)] meaningful_092 OK (lines=25)
[2026-03-09 03:37:35]     [mermaid.ink 400] attempt 1
[2026-03-09 03:37:40]     [mermaid.ink 400] attempt 2
[2026-03-09 03:37:46]     [mermaid.ink 400] attempt 3
[2026-03-09 03:37:50]   [(94/500)] meaningful_093 PNG 渲染失败
[2026-03-09 03:38:02]     [mermaid.ink 400] attempt 1
[2026-03-09 03:38:08]     [mermaid.ink 400] attempt 2
[2026-03-09 03:38:13]     [mermaid.ink 400] attempt 3
[2026-03-09 03:38:17]   [(94/500)] meaningful_093 PNG 渲染失败
[2026-03-09 03:38:33]     [mermaid.ink 503] attempt 1
[2026-03-09 03:38:54]   [(94/500)] meaningful_093 OK (lines=37)
[2026-03-09 03:39:12]   [(95/500)] meaningful_094 OK (lines=30)
[2026-03-09 03:39:28]   [(96/500)] meaningful_095 OK (lines=24)
[2026-03-09 03:39:46]   [(97/500)] meaningful_096 OK (lines=26)
[2026-03-09 03:40:12]   [(98/500)] meaningful_097 OK (lines=64)
[2026-03-09 03:40:36]   [(99/500)] meaningful_098 OK (lines=40)
[2026-03-09 03:40:48]     [mermaid.ink 400] attempt 1
[2026-03-09 03:40:54]     [mermaid.ink 400] attempt 2
[2026-03-09 03:40:59]     [mermaid.ink 400] attempt 3
[2026-03-09 03:41:03]   [(100/500)] meaningful_099 PNG 渲染失败
[2026-03-09 03:41:33]   [(100/500)] meaningful_099 OK (lines=91)
[2026-03-09 03:41:43]     [mermaid.ink 400] attempt 1
[2026-03-09 03:41:48]     [mermaid.ink 400] attempt 2
[2026-03-09 03:41:54]     [mermaid.ink 400] attempt 3
[2026-03-09 03:41:58]   [(101/500)] meaningful_100 PNG 渲染失败
[2026-03-09 03:42:12]     [mermaid.ink 400] attempt 1
[2026-03-09 03:42:17]     [mermaid.ink 400] attempt 2
[2026-03-09 03:42:23]     [mermaid.ink 400] attempt 3
[2026-03-09 03:42:27]   [(101/500)] meaningful_100 PNG 渲染失败
[2026-03-09 03:42:51]   [(101/500)] meaningful_100 OK (lines=44)
[2026-03-09 03:43:11]   [(102/500)] meaningful_101 OK (lines=43)
[2026-03-09 03:43:30]   [(103/500)] meaningful_102 OK (lines=27)
[2026-03-09 03:43:49]   [(104/500)] meaningful_103 OK (lines=35)
[2026-03-09 03:43:57]     [mermaid.ink 400] attempt 1
[2026-03-09 03:44:03]     [mermaid.ink 400] attempt 2
[2026-03-09 03:44:08]     [mermaid.ink 400] attempt 3
[2026-03-09 03:44:12]   [(105/500)] meaningful_104 PNG 渲染失败
[2026-03-09 03:44:23]     [mermaid.ink 400] attempt 1
[2026-03-09 03:44:29]     [mermaid.ink 400] attempt 2
[2026-03-09 03:44:34]     [mermaid.ink 400] attempt 3
[2026-03-09 03:44:38]   [(105/500)] meaningful_104 PNG 渲染失败
[2026-03-09 03:44:48]     [mermaid.ink 400] attempt 1
[2026-03-09 03:44:54]     [mermaid.ink 400] attempt 2
[2026-03-09 03:44:59]     [mermaid.ink 400] attempt 3
[2026-03-09 03:45:03]   [(105/500)] meaningful_104 PNG 渲染失败
[2026-03-09 03:45:19]     [mermaid.ink 503] attempt 1
[2026-03-09 03:45:36]   [(105/500)] meaningful_104 OK (lines=36)
[2026-03-09 03:45:44]     [mermaid.ink 400] attempt 1
[2026-03-09 03:45:49]     [mermaid.ink 400] attempt 2
[2026-03-09 03:45:55]     [mermaid.ink 400] attempt 3
[2026-03-09 03:45:59]   [(106/500)] meaningful_105 PNG 渲染失败
[2026-03-09 03:46:24]   [(106/500)] meaningful_105 OK (lines=57)
[2026-03-09 03:46:44]   [(107/500)] meaningful_106 OK (lines=41)
[2026-03-09 03:46:59]   [(108/500)] meaningful_107 OK (lines=18)
[2026-03-09 03:47:18]   [(109/500)] meaningful_108 OK (lines=17)
[2026-03-09 03:47:33]   [(110/500)] meaningful_109 OK (lines=9)
[2026-03-09 03:47:51]   [(111/500)] meaningful_110 OK (lines=28)
[2026-03-09 03:48:06]   [(112/500)] meaningful_111 OK (lines=20)
[2026-03-09 03:48:14]     [mermaid.ink 400] attempt 1
[2026-03-09 03:48:19]     [mermaid.ink 400] attempt 2
[2026-03-09 03:48:25]     [mermaid.ink 400] attempt 3
[2026-03-09 03:48:29]   [(113/500)] meaningful_112 PNG 渲染失败
[2026-03-09 03:48:49]   [(113/500)] meaningful_112 OK (lines=34)
[2026-03-09 03:48:57]     [mermaid.ink 400] attempt 1
[2026-03-09 03:49:03]     [mermaid.ink 400] attempt 2
[2026-03-09 03:49:09]     [mermaid.ink 400] attempt 3
[2026-03-09 03:49:13]   [(114/500)] meaningful_113 PNG 渲染失败
[2026-03-09 03:49:24]     [mermaid.ink 400] attempt 1
[2026-03-09 03:49:30]     [mermaid.ink 400] attempt 2
[2026-03-09 03:49:35]     [mermaid.ink 400] attempt 3
[2026-03-09 03:49:39]   [(114/500)] meaningful_113 PNG 渲染失败
[2026-03-09 03:49:54]     [mermaid.ink 400] attempt 1
[2026-03-09 03:49:59]     [mermaid.ink 400] attempt 2
[2026-03-09 03:50:05]     [mermaid.ink 400] attempt 3
[2026-03-09 03:50:09]   [(114/500)] meaningful_113 PNG 渲染失败
[2026-03-09 03:50:30]   [(114/500)] meaningful_113 OK (lines=42)
[2026-03-09 03:50:49]   [(115/500)] meaningful_114 OK (lines=34)
[2026-03-09 03:51:14]   [(116/500)] meaningful_115 OK (lines=45)
[2026-03-09 03:51:39]   [(117/500)] meaningful_116 OK (lines=49)
